KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001109001,T001109002,T001109003,T001109004,T001109005,T001109006,T001109007,T001109008,T001109009,T001109010,T001109011,T001109012,T001109013,T001109014,T001109015,T001109016,T001109017,T001109018,T001109019,T001109020,T001109021,T001109022,T001109023,T001109024,T001109025,T001109026,T001109027,T001109028,T001109029,T001109030,T001109031,T001109032,T001109033,T001109034,T001109035,T001109036,T001109037,T001109038,T001109039,T001109040,T001109041,T001109042,T001109043,T001109044,T001109045,T001109046,T001109047,T001109048,T001109049,T001109050,T001109051,T001109052,T001109053,T001109054,T001109055,T001109056,T001109057,T001109058,T001109059,T001109060,T001109061,T001109062,T001109063,T001109064,T001109065,T001109066,T001109067,T001109068,T001109069,T001109070,T001109071,T001109072,T001109073,T001109074,T001109075,T001109076,T001109077,T001109078,T001109079,T001109080,T001109081,T001109082,T001109083,T001109084,T001109085,T001109086,T001109087,T001109088,T001109089,T001109090,T001109091,T001109092,T001109093,T001109094
,,,,　雇用者（役員を含む）（１５歳以上）　総数,　雇用者（役員を含む）（１５歳以上）　男,　雇用者（役員を含む）（１５歳以上）　女,　正規の職員・従業員（１５歳以上）　総数,　正規の職員・従業員（１５歳以上）　男,　正規の職員・従業員（１５歳以上）　女,　労働者派遣事業所の派遣社員（１５歳以上）　総数,　労働者派遣事業所の派遣社員（１５歳以上）　男,　労働者派遣事業所の派遣社員（１５歳以上）　女,　パート・アルバイト・その他（１５歳以上）　総数,　パート・アルバイト・その他（１５歳以上）　男,　パート・アルバイト・その他（１５歳以上）　女,　自営業主（家庭内職者を含む）（１５歳以上）　総数,　自営業主（家庭内職者を含む）（１５歳以上）　男,　自営業主（家庭内職者を含む）（１５歳以上）　女,　家族従業者（１５歳以上）　総数,　家族従業者（１５歳以上）　男,　家族従業者（１５歳以上）　女,　未就学者　総数,　未就学者　男,　未就学者　女,　未就学者　うち　幼稚園　総数,　未就学者　うち　幼稚園　男,　未就学者　うち　幼稚園　女,　未就学者　うち　保育園・保育所　総数,　未就学者　うち　保育園・保育所　男,　未就学者　うち　保育園・保育所　女,　未就学者　うち　認定こども園　総数,　未就学者　うち　認定こども園　男,　未就学者　うち　認定こども園　女,　未就学者　うち　その他　総数,　未就学者　うち　その他　男,　未就学者　うち　その他　女,　在学者　総数,　在学者　男,　在学者　女,　在学者　うち　小学校・中学校　総数,　在学者　うち　小学校・中学校　男,　在学者　うち　小学校・中学校　女,　在学者　うち　高校　総数,　在学者　うち　高校　男,　在学者　うち　高校　女,　在学者　うち　短大・高専　総数,　在学者　うち　短大・高専　男,　在学者　うち　短大・高専　女,　在学者　うち　大学・大学院　総数,　在学者　うち　大学・大学院　男,　在学者　うち　大学・大学院　女,　最終卒業学校卒業者（１５歳以上人口）　総数,　最終卒業学校卒業者（１５歳以上人口）　男,　最終卒業学校卒業者（１５歳以上人口）　女,　最終卒業学校卒業者（１５歳以上人口）　うち　小学校・中学校　総数,　最終卒業学校卒業者（１５歳以上人口）　うち　小学校・中学校　男,　最終卒業学校卒業者（１５歳以上人口）　うち　小学校・中学校　女,　最終卒業学校卒業者（１５歳以上人口）　うち　高校・旧中　総数,　最終卒業学校卒業者（１５歳以上人口）　うち　高校・旧中　男,　最終卒業学校卒業者（１５歳以上人口）　うち　高校・旧中　女,　最終卒業学校卒業者（１５歳以上人口）　うち　短大・高専　総数,　最終卒業学校卒業者（１５歳以上人口）　うち　短大・高専　男,　最終卒業学校卒業者（１５歳以上人口）　うち　短大・高専　女,　最終卒業学校卒業者（１５歳以上人口）　うち　大学・大学院　総数,　最終卒業学校卒業者（１５歳以上人口）　うち　大学・大学院　男,　最終卒業学校卒業者（１５歳以上人口）　うち　大学・大学院　女,　居住期間　出生時から　総数,　居住期間　出生時から　男,　居住期間　出生時から　女,　居住期間　１年未満　総数,　居住期間　１年未満　男,　居住期間　１年未満　女,　居住期間　１～５年未満　総数,　居住期間　１～５年未満　男,　居住期間　１～５年未満　女,　居住期間　５～１０年未満　総数,　居住期間　５～１０年未満　男,　居住期間　５～１０年未満　女,　居住期間　１０～２０年未満　総数,　居住期間　１０～２０年未満　男,　居住期間　１０～２０年未満　女,　居住期間　２０年以上　総数,　居住期間　２０年以上　男,　居住期間　２０年以上　女,　農林漁業就業者世帯数　一般世帯数,　農林漁業・非農林漁業就業者混合世帯数　一般世帯数,　非農林漁業就業者世帯数　一般世帯数,　非就業者世帯数　一般世帯数,　当地に常住する１５歳以上就業者・通学者　総数,　当地に常住する１５歳以上就業者・通学者　就業者数,　当地に常住する１５歳以上就業者・通学者　通学者数,　利用交通手段別１５歳以上自宅外就業者・通学者　徒歩のみ,　利用交通手段別１５歳以上自宅外就業者・通学者　鉄道・電車,　利用交通手段別１５歳以上自宅外就業者・通学者　乗合バス,　利用交通手段別１５歳以上自宅外就業者・通学者　自家用車,　利用交通手段別１５歳以上自宅外就業者・通学者　オートバイ,　利用交通手段別１５歳以上自宅外就業者・通学者　自転車
5133044844,2,5133045911,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5133045822,1,,5133045824,9,4,5,5,4,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,12,7,2,5,13,7,6,0,0,0,1,1,0,9,6,3,0,0,0,1,1,0,0,0,0,0,0,0,12,3,9,1,0,6,2,9,9,0,0,0,0,9,0,0
5133045824,2,5133045822,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5133045911,1,,5133044844,27,15,12,18,12,6,0,0,0,9,3,6,4,4,0,3,0,3,5,3,2,1,1,0,1,1,0,0,0,0,3,1,2,5,3,2,4,3,1,1,0,1,0,0,0,0,0,0,81,41,40,10,4,6,37,19,18,13,5,8,4,3,1,25,19,6,0,0,0,4,2,2,0,0,0,8,3,5,31,10,21,2,1,15,16,35,34,1,0,1,0,26,0,1
5133045913,1,,5133045931;5133045932,33,17,16,23,14,9,2,0,2,8,3,5,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,99,48,51,14,6,8,49,26,23,3,2,1,8,4,4,22,18,4,0,0,0,3,2,1,1,1,0,7,3,4,46,18,28,3,3,16,24,44,43,1,0,1,0,31,2,3
5133045914,0,,,3,1,2,2,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,14,5,9,4,2,2,6,1,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8,1,7,0,0,2,4,4,4,0,0,0,0,3,0,0
5133045923,2,5133045941,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5133045931,2,5133045913,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
5133045932,2,5133045913,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
